epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,12446.7,1.07253,1.35474,1.2137,0.51809,0.2423,0.2349,0.13245,1.51122,3.03884,1.41353,0.007228,0.007228,0.007228
44,12737.5,1.07603,1.33673,1.21241,0.5714,0.25593,0.24175,0.13649,1.51429,3.21118,1.42218,0.007162,0.007162,0.007162
45,13025.5,1.06672,1.34059,1.20782,0.52095,0.26363,0.24462,0.13501,1.51417,3.0224,1.41857,0.007096,0.007096,0.007096
46,13314.2,1.0598,1.32203,1.20392,0.48272,0.28449,0.24273,0.14116,1.50176,2.87975,1.4048,0.00703,0.00703,0.00703
47,13604.9,1.05424,1.31489,1.20799,0.44962,0.28041,0.24724,0.14031,1.49794,2.95098,1.39772,0.006964,0.006964,0.006964
48,13894.7,1.06208,1.29871,1.20899,0.45335,0.27903,0.24543,0.14097,1.49195,3.09121,1.38988,0.006898,0.006898,0.006898
49,14185.7,1.0442,1.29926,1.20127,0.44104,0.27106,0.23728,0.13619,1.49823,2.80577,1.3927,0.006832,0.006832,0.006832
50,14476.7,1.04118,1.30249,1.20309,0.46797,0.26811,0.25103,0.14508,1.48545,2.85031,1.3865,0.006766,0.006766,0.006766
51,14767.7,1.03515,1.2888,1.19596,0.48645,0.24966,0.23497,0.13779,1.49653,2.94154,1.39019,0.0067,0.0067,0.0067
52,15058.4,1.02815,1.2821,1.19692,0.46586,0.26449,0.24252,0.13741,1.4972,2.78081,1.39231,0.006634,0.006634,0.006634
53,15352.2,1.03538,1.2815,1.20004,0.46738,0.28913,0.25194,0.14276,1.49326,2.7561,1.39843,0.006568,0.006568,0.006568
54,15640.5,1.03338,1.26941,1.19786,0.46503,0.27689,0.24418,0.14333,1.47806,2.75804,1.38163,0.006502,0.006502,0.006502
55,15930.1,1.02767,1.25908,1.18721,0.46456,0.26391,0.24349,0.14195,1.47291,2.88563,1.37549,0.006436,0.006436,0.006436
56,16223.7,1.02236,1.2621,1.18907,0.48172,0.26528,0.24152,0.14295,1.48053,2.93628,1.38022,0.00637,0.00637,0.00637
57,16513.9,1.02879,1.26273,1.19028,0.48109,0.2733,0.25907,0.14717,1.47182,2.80256,1.37025,0.006304,0.006304,0.006304
58,16805.4,1.02053,1.24749,1.18651,0.47689,0.28993,0.25181,0.14863,1.47372,2.93898,1.37026,0.006238,0.006238,0.006238
59,17096.3,1.01063,1.24184,1.18056,0.54177,0.27954,0.25273,0.14688,1.4625,2.99921,1.37572,0.006172,0.006172,0.006172
60,17387.3,1.0123,1.25465,1.18963,0.36965,0.27536,0.23967,0.14318,1.46171,2.97478,1.37148,0.006106,0.006106,0.006106
61,17678.8,1.01912,1.25066,1.18692,0.47726,0.28218,0.24407,0.14647,1.45675,2.86932,1.3697,0.00604,0.00604,0.00604
62,17970,1.01742,1.23223,1.1874,0.46349,0.28805,0.24104,0.14542,1.45216,2.85043,1.36377,0.005974,0.005974,0.005974
63,18265.3,1.02912,1.23257,1.18603,0.46462,0.26942,0.24714,0.14714,1.45337,2.83457,1.3635,0.005908,0.005908,0.005908
64,18560.9,1.00398,1.22139,1.17699,0.47186,0.26474,0.2485,0.14778,1.44394,2.8691,1.35883,0.005842,0.005842,0.005842
65,18853.1,0.99823,1.21952,1.17428,0.48316,0.2492,0.24155,0.14509,1.4459,2.88179,1.35299,0.005776,0.005776,0.005776
66,19144.6,0.99803,1.21482,1.17447,0.46111,0.26277,0.2519,0.14865,1.44438,2.81217,1.35508,0.00571,0.00571,0.00571
67,19440.9,1.00027,1.18725,1.17115,0.44521,0.26355,0.25264,0.15262,1.44139,2.81509,1.35582,0.005644,0.005644,0.005644
68,19735.9,1.00329,1.20786,1.17828,0.47724,0.25543,0.2497,0.14936,1.4315,2.76131,1.35249,0.005578,0.005578,0.005578
69,20026.2,0.99142,1.20991,1.17476,0.37736,0.27195,0.25328,0.14823,1.44158,2.73148,1.35708,0.005512,0.005512,0.005512
70,20322.7,0.98543,1.19437,1.17314,0.50131,0.25782,0.2501,0.14762,1.43596,2.71546,1.35375,0.005446,0.005446,0.005446
71,20618.7,0.97988,1.17154,1.16634,0.35492,0.26812,0.25817,0.15059,1.43872,2.72038,1.3559,0.00538,0.00538,0.00538
72,20911.9,0.99569,1.20596,1.17647,0.40427,0.25152,0.25792,0.15013,1.4394,2.79926,1.35605,0.005314,0.005314,0.005314
73,21206.8,0.99277,1.18857,1.16827,0.49344,0.25106,0.26021,0.15092,1.43728,2.80288,1.35297,0.005248,0.005248,0.005248
74,21501.4,0.99115,1.17598,1.17261,0.50154,0.2638,0.25663,0.14883,1.44135,2.86644,1.35279,0.005182,0.005182,0.005182
75,21793.3,0.98866,1.18208,1.16892,0.48857,0.25857,0.25471,0.147,1.44635,2.80291,1.36058,0.005116,0.005116,0.005116
76,22087.7,0.97493,1.17235,1.16432,0.48882,0.25652,0.24818,0.14465,1.44635,2.865,1.36203,0.00505,0.00505,0.00505
77,22382.1,0.96085,1.15382,1.16003,0.43984,0.27885,0.24423,0.14504,1.44145,2.82492,1.35733,0.004984,0.004984,0.004984
78,22673,0.96051,1.14814,1.15536,0.45132,0.26913,0.24926,0.1474,1.43233,2.74341,1.3505,0.004918,0.004918,0.004918
79,22963.9,0.9643,1.14037,1.15708,0.46185,0.26285,0.24771,0.14858,1.43385,2.69045,1.35156,0.004852,0.004852,0.004852
80,23256.1,0.97093,1.14533,1.1579,0.48265,0.26741,0.25752,0.15077,1.43297,2.70045,1.3495,0.004786,0.004786,0.004786
81,23545.5,0.9772,1.1694,1.16145,0.4564,0.27658,0.25147,0.14958,1.43227,2.71461,1.34687,0.00472,0.00472,0.00472
82,23834.5,0.96653,1.14307,1.15792,0.46672,0.27344,0.25505,0.15111,1.43024,2.72433,1.34418,0.004654,0.004654,0.004654
83,24124.2,0.96134,1.14903,1.15929,0.45527,0.27382,0.25648,0.15197,1.4258,2.67552,1.34061,0.004588,0.004588,0.004588
84,24414.5,0.95983,1.13369,1.1551,0.47207,0.28991,0.25345,0.15173,1.43072,2.69169,1.34478,0.004522,0.004522,0.004522
85,24705.6,0.95036,1.11686,1.15105,0.48315,0.28317,0.25828,0.15175,1.43655,2.69412,1.34755,0.004456,0.004456,0.004456
86,24995.9,0.94593,1.13519,1.15032,0.50486,0.28093,0.25757,0.15072,1.43588,2.67811,1.34898,0.00439,0.00439,0.00439
87,25287.9,0.93946,1.1087,1.14497,0.5083,0.27704,0.26093,0.15164,1.43638,2.70121,1.3509,0.004324,0.004324,0.004324
88,25578.5,0.95025,1.11969,1.14879,0.52136,0.27388,0.2578,0.15133,1.43681,2.74132,1.35131,0.004258,0.004258,0.004258
